rank,question
237,What is the genre of the movie 'Jackie'?
237,"Can you recommend a movie similar to 'Jackie' in the Biography,Drama,History genre?"
237,What other movies did Pablo Larraín direct besides 'Jackie'?
238,What is the genre of the movie 'The Disappointments Room'?
238,"Can you recommend a movie similar to 'The Disappointments Room' in the Drama,Horror,Thriller genre?"
238,In which other movies did Lucas Till star besides 'The Disappointments Room'?
239,What is the genre of the movie 'The Grand Budapest Hotel'?
239,"Can you recommend a movie similar to 'The Grand Budapest Hotel' in the Adventure,Comedy,Drama genre?"
239,In which other movies did F. Murray Abraham star besides 'The Grand Budapest Hotel'?
240,What is the genre of the movie 'The Host'?
240,"Can you recommend a movie similar to 'The Host' in the Action,Adventure,Romance genre?"
240,In which other movies did Max Irons star besides 'The Host'?
241,What is the genre of the movie 'Fury'?
241,"Can you recommend a movie similar to 'Fury' in the Action,Drama,War genre?"
241,What other movies did David Ayer direct besides 'Fury'?
242,What is the genre of the movie 'Inside Out'?
242,"Can you recommend a movie similar to 'Inside Out' in the Animation,Adventure,Comedy genre?"
242,In which other movies did Amy Poehler star besides 'Inside Out'?
243,What is the genre of the movie 'Rock Dog'?
243,"Can you recommend a movie similar to 'Rock Dog' in the Animation,Adventure,Comedy genre?"
243,What other movies did Ash Brannon direct besides 'Rock Dog'?
244,What is the genre of the movie 'Terminator Genisys'?
244,"Can you recommend a movie similar to 'Terminator Genisys' in the Action,Adventure,Sci-Fi genre?"
244,What other movies did Alan Taylor direct besides 'Terminator Genisys'?
245,What is the genre of the movie 'Percy Jackson & the Olympians: The Lightning Thief'?
245,"Can you recommend a movie similar to 'Percy Jackson & the Olympians: The Lightning Thief' in the Adventure,Family,Fantasy genre?"
245,In which other movies did Steve Coogan star besides 'Percy Jackson & the Olympians: The Lightning Thief'?
246,What is the genre of the movie 'Les Misérables'?
246,"Can you recommend a movie similar to 'Les Misérables' in the Drama,Musical,Romance genre?"
246,In which other movies did Hugh Jackman star besides 'Les Misérables'?
247,What is the genre of the movie 'Children of Men'?
247,"Can you recommend a movie similar to 'Children of Men' in the Drama,Sci-Fi,Thriller genre?"
247,What other movies did Alfonso Cuarón direct besides 'Children of Men'?
248,What is the genre of the movie '20th Century Women'?
248,"Can you recommend a movie similar to '20th Century Women' in the Comedy,Drama genre?"
248,In which other movies did Greta Gerwig star besides '20th Century Women'?
249,What is the genre of the movie 'Spy'?
249,"Can you recommend a movie similar to 'Spy' in the Action,Comedy,Crime genre?"
249,In which other movies did Jason Statham star besides 'Spy'?
250,What is the genre of the movie 'The Intouchables'?
250,"Can you recommend a movie similar to 'The Intouchables' in the Biography,Comedy,Drama genre?"
250,What other movies did Olivier Nakache direct besides 'The Intouchables'?
251,What is the genre of the movie 'Bonjour Anne'?
251,"Can you recommend a movie similar to 'Bonjour Anne' in the Comedy,Drama,Romance genre?"
251,In which other movies did Linda Gegusch star besides 'Bonjour Anne'?
252,What is the genre of the movie 'Kynodontas'?
252,"Can you recommend a movie similar to 'Kynodontas' in the Drama,Thriller genre?"
252,What other movies did Yorgos Lanthimos direct besides 'Kynodontas'?
253,What is the genre of the movie 'Straight Outta Compton'?
253,"Can you recommend a movie similar to 'Straight Outta Compton' in the Biography,Drama,History genre?"
253,In which other movies did O'Shea Jackson Jr. star besides 'Straight Outta Compton'?
254,What is the genre of the movie 'The Amazing Spider-Man 2'?
254,"Can you recommend a movie similar to 'The Amazing Spider-Man 2' in the Action,Adventure,Sci-Fi genre?"
254,What other movies did Marc Webb direct besides 'The Amazing Spider-Man 2'?
255,What is the genre of the movie 'The Conjuring'?
255,"Can you recommend a movie similar to 'The Conjuring' in the Horror,Mystery,Thriller genre?"
255,In which other movies did Patrick Wilson star besides 'The Conjuring'?
256,What is the genre of the movie 'The Hangover'?
256,Can you recommend a movie similar to 'The Hangover' in the Comedy genre?
256,In which other movies did Justin Bartha star besides 'The Hangover'?
257,What is the genre of the movie 'Battleship'?
257,"Can you recommend a movie similar to 'Battleship' in the Action,Adventure,Sci-Fi genre?"
257,In which other movies did Liam Neeson star besides 'Battleship'?
258,What is the genre of the movie 'Rise of the Planet of the Apes'?
258,"Can you recommend a movie similar to 'Rise of the Planet of the Apes' in the Action,Drama,Sci-Fi genre?"
258,In which other movies did James Franco star besides 'Rise of the Planet of the Apes'?
259,What is the genre of the movie 'Lights Out'?
259,Can you recommend a movie similar to 'Lights Out' in the Horror genre?
259,What other movies did David F. Sandberg direct besides 'Lights Out'?
260,What is the genre of the movie 'Norman: The Moderate Rise and Tragic Fall of a New York Fixer'?
260,"Can you recommend a movie similar to 'Norman: The Moderate Rise and Tragic Fall of a New York Fixer' in the Drama,Thriller genre?"
260,What other movies did Joseph Cedar direct besides 'Norman: The Moderate Rise and Tragic Fall of a New York Fixer'?
261,What is the genre of the movie 'Birdman or (The Unexpected Virtue of Ignorance)'?
261,"Can you recommend a movie similar to 'Birdman or (The Unexpected Virtue of Ignorance)' in the Comedy,Drama,Romance genre?"
261,What other movies did Alejandro González Iñárritu direct besides 'Birdman or (The Unexpected Virtue of Ignorance)'?
262,What is the genre of the movie 'Black Swan'?
262,"Can you recommend a movie similar to 'Black Swan' in the Drama,Thriller genre?"
262,What other movies did Darren Aronofsky direct besides 'Black Swan'?
263,What is the genre of the movie 'Dear White People'?
263,"Can you recommend a movie similar to 'Dear White People' in the Comedy,Drama genre?"
263,What other movies did Justin Simien direct besides 'Dear White People'?
264,What is the genre of the movie 'Nymphomaniac: Vol. I'?
264,Can you recommend a movie similar to 'Nymphomaniac: Vol. I' in the Drama genre?
264,What other movies did Lars von Trier direct besides 'Nymphomaniac: Vol. I'?
265,What is the genre of the movie 'Teenage Mutant Ninja Turtles: Out of the Shadows'?
265,"Can you recommend a movie similar to 'Teenage Mutant Ninja Turtles: Out of the Shadows' in the Action,Adventure,Comedy genre?"
265,What other movies did Dave Green direct besides 'Teenage Mutant Ninja Turtles: Out of the Shadows'?
266,What is the genre of the movie 'Knock Knock'?
266,"Can you recommend a movie similar to 'Knock Knock' in the Drama,Horror,Thriller genre?"
266,In which other movies did Lorenza Izzo star besides 'Knock Knock'?
267,What is the genre of the movie 'Dirty Grandpa'?
267,Can you recommend a movie similar to 'Dirty Grandpa' in the Comedy genre?
267,In which other movies did Zac Efron star besides 'Dirty Grandpa'?
268,What is the genre of the movie 'Cloud Atlas'?
268,"Can you recommend a movie similar to 'Cloud Atlas' in the Drama,Sci-Fi genre?"
268,What other movies did Tom Tykwer direct besides 'Cloud Atlas'?
269,What is the genre of the movie 'X-Men Origins: Wolverine'?
269,"Can you recommend a movie similar to 'X-Men Origins: Wolverine' in the Action,Adventure,Sci-Fi genre?"
269,In which other movies did Ryan Reynolds star besides 'X-Men Origins: Wolverine'?
270,What is the genre of the movie 'Satanic'?
270,Can you recommend a movie similar to 'Satanic' in the Horror genre?
270,What other movies did Jeffrey G. Hunt direct besides 'Satanic'?
271,What is the genre of the movie 'Skyfall'?
271,"Can you recommend a movie similar to 'Skyfall' in the Action,Adventure,Thriller genre?"
271,What other movies did Sam Mendes direct besides 'Skyfall'?
272,What is the genre of the movie 'The Hobbit: An Unexpected Journey'?
272,"Can you recommend a movie similar to 'The Hobbit: An Unexpected Journey' in the Adventure,Fantasy genre?"
272,In which other movies did Andy Serkis star besides 'The Hobbit: An Unexpected Journey'?
273,What is the genre of the movie '21 Jump Street'?
273,"Can you recommend a movie similar to '21 Jump Street' in the Action,Comedy,Crime genre?"
273,In which other movies did Jonah Hill star besides '21 Jump Street'?
274,What is the genre of the movie 'Sing Street'?
274,"Can you recommend a movie similar to 'Sing Street' in the Comedy,Drama,Music genre?"
274,In which other movies did Jack Reynor star besides 'Sing Street'?
275,What is the genre of the movie 'Ballerina'?
275,"Can you recommend a movie similar to 'Ballerina' in the Animation,Adventure,Comedy genre?"
275,What other movies did Eric Summer direct besides 'Ballerina'?
276,What is the genre of the movie 'Oblivion'?
276,"Can you recommend a movie similar to 'Oblivion' in the Action,Adventure,Mystery genre?"
276,What other movies did Joseph Kosinski direct besides 'Oblivion'?
277,What is the genre of the movie '22 Jump Street'?
277,"Can you recommend a movie similar to '22 Jump Street' in the Action,Comedy,Crime genre?"
277,What other movies did Phil Lord direct besides '22 Jump Street'?
278,What is the genre of the movie 'Zodiac'?
278,"Can you recommend a movie similar to 'Zodiac' in the Crime,Drama,History genre?"
278,What other movies did David Fincher direct besides 'Zodiac'?
279,What is the genre of the movie 'Everybody Wants Some!!'?
279,Can you recommend a movie similar to 'Everybody Wants Some!!' in the Comedy genre?
279,In which other movies did Ryan Guzman star besides 'Everybody Wants Some!!'?
280,What is the genre of the movie 'Iron Man Three'?
280,"Can you recommend a movie similar to 'Iron Man Three' in the Action,Adventure,Sci-Fi genre?"
280,What other movies did Shane Black direct besides 'Iron Man Three'?
281,What is the genre of the movie 'Now You See Me'?
281,"Can you recommend a movie similar to 'Now You See Me' in the Crime,Mystery,Thriller genre?"
281,In which other movies did Woody Harrelson star besides 'Now You See Me'?
282,What is the genre of the movie 'Sherlock Holmes'?
282,"Can you recommend a movie similar to 'Sherlock Holmes' in the Action,Adventure,Crime genre?"
282,What other movies did Guy Ritchie direct besides 'Sherlock Holmes'?
283,What is the genre of the movie 'Death Proof'?
283,Can you recommend a movie similar to 'Death Proof' in the Thriller genre?
283,In which other movies did Kurt Russell star besides 'Death Proof'?
284,What is the genre of the movie 'The Danish Girl'?
284,"Can you recommend a movie similar to 'The Danish Girl' in the Biography,Drama,Romance genre?"
284,In which other movies did Ben Whishaw star besides 'The Danish Girl'?
285,What is the genre of the movie 'Hercules'?
285,"Can you recommend a movie similar to 'Hercules' in the Action,Adventure genre?"
285,What other movies did Brett Ratner direct besides 'Hercules'?
286,What is the genre of the movie 'Sucker Punch'?
286,"Can you recommend a movie similar to 'Sucker Punch' in the Action,Fantasy genre?"
286,In which other movies did Jena Malone star besides 'Sucker Punch'?
287,What is the genre of the movie 'Keeping Up with the Joneses'?
287,"Can you recommend a movie similar to 'Keeping Up with the Joneses' in the Action,Comedy genre?"
287,What other movies did Greg Mottola direct besides 'Keeping Up with the Joneses'?
288,What is the genre of the movie 'Jupiter Ascending'?
288,"Can you recommend a movie similar to 'Jupiter Ascending' in the Action,Adventure,Sci-Fi genre?"
288,What other movies did Lana Wachowski direct besides 'Jupiter Ascending'?
289,What is the genre of the movie 'Masterminds'?
289,"Can you recommend a movie similar to 'Masterminds' in the Action,Comedy,Crime genre?"
289,In which other movies did Zach Galifianakis star besides 'Masterminds'?
290,What is the genre of the movie 'Iris'?
290,Can you recommend a movie similar to 'Iris' in the Thriller genre?
290,In which other movies did Charlotte Le Bon star besides 'Iris'?
291,What is the genre of the movie 'Busanhaeng'?
291,"Can you recommend a movie similar to 'Busanhaeng' in the Action,Drama,Horror genre?"
291,In which other movies did Dong-seok Ma star besides 'Busanhaeng'?
292,What is the genre of the movie 'Pitch Perfect'?
292,"Can you recommend a movie similar to 'Pitch Perfect' in the Comedy,Music,Romance genre?"
292,What other movies did Jason Moore direct besides 'Pitch Perfect'?
293,What is the genre of the movie 'Neighbors 2: Sorority Rising'?
293,Can you recommend a movie similar to 'Neighbors 2: Sorority Rising' in the Comedy genre?
293,What other movies did Nicholas Stoller direct besides 'Neighbors 2: Sorority Rising'?
294,What is the genre of the movie 'The Exception'?
294,Can you recommend a movie similar to 'The Exception' in the Drama genre?
294,In which other movies did Loïs van Wijk star besides 'The Exception'?
295,What is the genre of the movie 'Man of Steel'?
295,"Can you recommend a movie similar to 'Man of Steel' in the Action,Adventure,Fantasy genre?"
295,What other movies did Zack Snyder direct besides 'Man of Steel'?
296,What is the genre of the movie 'The Choice'?
296,"Can you recommend a movie similar to 'The Choice' in the Drama,Romance genre?"
296,In which other movies did Alexandra Daddario star besides 'The Choice'?
297,What is the genre of the movie 'Ice Age: Collision Course'?
297,"Can you recommend a movie similar to 'Ice Age: Collision Course' in the Animation,Adventure,Comedy genre?"
297,In which other movies did Ray Romano star besides 'Ice Age: Collision Course'?
298,What is the genre of the movie 'The Devil Wears Prada'?
298,"Can you recommend a movie similar to 'The Devil Wears Prada' in the Comedy,Drama genre?"
298,In which other movies did Emily Blunt star besides 'The Devil Wears Prada'?
299,What is the genre of the movie 'The Infiltrator'?
299,"Can you recommend a movie similar to 'The Infiltrator' in the Biography,Crime,Drama genre?"
299,In which other movies did Diane Kruger star besides 'The Infiltrator'?
300,What is the genre of the movie 'There Will Be Blood'?
300,"Can you recommend a movie similar to 'There Will Be Blood' in the Drama,History genre?"
300,What other movies did Paul Thomas Anderson direct besides 'There Will Be Blood'?
301,What is the genre of the movie 'The Equalizer'?
301,"Can you recommend a movie similar to 'The Equalizer' in the Action,Crime,Thriller genre?"
301,What other movies did Antoine Fuqua direct besides 'The Equalizer'?
302,What is the genre of the movie 'Lone Survivor'?
302,"Can you recommend a movie similar to 'Lone Survivor' in the Action,Biography,Drama genre?"
302,What other movies did Peter Berg direct besides 'Lone Survivor'?
303,What is the genre of the movie 'The Cabin in the Woods'?
303,Can you recommend a movie similar to 'The Cabin in the Woods' in the Horror genre?
303,What other movies did Drew Goddard direct besides 'The Cabin in the Woods'?
304,What is the genre of the movie 'The House Bunny'?
304,"Can you recommend a movie similar to 'The House Bunny' in the Comedy,Romance genre?"
304,In which other movies did Kat Dennings star besides 'The House Bunny'?
305,What is the genre of the movie 'She's Out of My League'?
305,"Can you recommend a movie similar to 'She's Out of My League' in the Comedy,Romance genre?"
305,In which other movies did Alice Eve star besides 'She's Out of My League'?
306,What is the genre of the movie 'Inherent Vice'?
306,"Can you recommend a movie similar to 'Inherent Vice' in the Comedy,Crime,Drama genre?"
306,In which other movies did Katherine Waterston star besides 'Inherent Vice'?
307,What is the genre of the movie 'Alice Through the Looking Glass'?
307,"Can you recommend a movie similar to 'Alice Through the Looking Glass' in the Adventure,Family,Fantasy genre?"
307,In which other movies did Helena Bonham Carter star besides 'Alice Through the Looking Glass'?
308,What is the genre of the movie 'Vincent N Roxxy'?
308,"Can you recommend a movie similar to 'Vincent N Roxxy' in the Crime,Drama,Thriller genre?"
308,In which other movies did Emile Hirsch star besides 'Vincent N Roxxy'?
309,What is the genre of the movie 'The Fast and the Furious: Tokyo Drift'?
309,"Can you recommend a movie similar to 'The Fast and the Furious: Tokyo Drift' in the Action,Crime,Thriller genre?"
309,In which other movies did Zachery Ty Bryan star besides 'The Fast and the Furious: Tokyo Drift'?
310,What is the genre of the movie 'How to Be Single'?
310,"Can you recommend a movie similar to 'How to Be Single' in the Comedy,Romance genre?"
310,What other movies did Christian Ditter direct besides 'How to Be Single'?
311,What is the genre of the movie 'The Blind Side'?
311,"Can you recommend a movie similar to 'The Blind Side' in the Biography,Drama,Sport genre?"
311,What other movies did John Lee Hancock direct besides 'The Blind Side'?
312,What is the genre of the movie 'La vie d'Adèle'?
312,"Can you recommend a movie similar to 'La vie d'Adèle' in the Drama,Romance genre?"
312,What other movies did Abdellatif Kechiche direct besides 'La vie d'Adèle'?
313,What is the genre of the movie 'The Babadook'?
313,"Can you recommend a movie similar to 'The Babadook' in the Drama,Horror genre?"
313,What other movies did Jennifer Kent direct besides 'The Babadook'?
314,What is the genre of the movie 'The Hobbit: The Battle of the Five Armies'?
314,"Can you recommend a movie similar to 'The Hobbit: The Battle of the Five Armies' in the Adventure,Fantasy genre?"
314,What other movies did Peter Jackson direct besides 'The Hobbit: The Battle of the Five Armies'?
315,What is the genre of the movie 'Harry Potter and the Order of the Phoenix'?
315,"Can you recommend a movie similar to 'Harry Potter and the Order of the Phoenix' in the Adventure,Family,Fantasy genre?"
315,In which other movies did Emma Watson star besides 'Harry Potter and the Order of the Phoenix'?
316,What is the genre of the movie 'Snowpiercer'?
316,"Can you recommend a movie similar to 'Snowpiercer' in the Action,Drama,Sci-Fi genre?"
316,In which other movies did Tilda Swinton star besides 'Snowpiercer'?
317,What is the genre of the movie 'The 5th Wave'?
317,"Can you recommend a movie similar to 'The 5th Wave' in the Action,Adventure,Sci-Fi genre?"
317,What other movies did J Blakeson direct besides 'The 5th Wave'?
318,What is the genre of the movie 'The Stakelander'?
318,"Can you recommend a movie similar to 'The Stakelander' in the Action,Horror genre?"
318,In which other movies did A.C. Peterson star besides 'The Stakelander'?
319,What is the genre of the movie 'The Visit'?
319,"Can you recommend a movie similar to 'The Visit' in the Comedy,Horror,Thriller genre?"
319,In which other movies did Peter McRobbie star besides 'The Visit'?
320,What is the genre of the movie 'Fast Five'?
320,"Can you recommend a movie similar to 'Fast Five' in the Action,Crime,Thriller genre?"
320,In which other movies did Vin Diesel star besides 'Fast Five'?
321,What is the genre of the movie 'Step Up'?
321,"Can you recommend a movie similar to 'Step Up' in the Crime,Drama,Music genre?"
321,What other movies did Anne Fletcher direct besides 'Step Up'?
322,What is the genre of the movie 'Lovesong'?
322,Can you recommend a movie similar to 'Lovesong' in the Drama genre?
322,In which other movies did Cary Joji Fukunaga star besides 'Lovesong'?
323,What is the genre of the movie 'RocknRolla'?
323,"Can you recommend a movie similar to 'RocknRolla' in the Action,Crime,Thriller genre?"
323,What other movies did Guy Ritchie direct besides 'RocknRolla'?
324,What is the genre of the movie 'In Time'?
324,"Can you recommend a movie similar to 'In Time' in the Action,Sci-Fi,Thriller genre?"
324,What other movies did Andrew Niccol direct besides 'In Time'?
325,What is the genre of the movie 'The Social Network'?
325,"Can you recommend a movie similar to 'The Social Network' in the Biography,Drama genre?"
325,What other movies did David Fincher direct besides 'The Social Network'?
326,What is the genre of the movie 'The Last Witch Hunter'?
326,"Can you recommend a movie similar to 'The Last Witch Hunter' in the Action,Adventure,Fantasy genre?"
326,What other movies did Breck Eisner direct besides 'The Last Witch Hunter'?
327,What is the genre of the movie 'Victor Frankenstein'?
327,"Can you recommend a movie similar to 'Victor Frankenstein' in the Drama,Horror,Sci-Fi genre?"
327,What other movies did Paul McGuigan direct besides 'Victor Frankenstein'?
328,What is the genre of the movie 'A Street Cat Named Bob'?
328,"Can you recommend a movie similar to 'A Street Cat Named Bob' in the Biography,Comedy,Drama genre?"
328,In which other movies did Joanne Froggatt star besides 'A Street Cat Named Bob'?
329,What is the genre of the movie 'Green Room'?
329,"Can you recommend a movie similar to 'Green Room' in the Crime,Horror,Thriller genre?"
329,In which other movies did Alia Shawkat star besides 'Green Room'?
330,What is the genre of the movie 'Blackhat'?
330,"Can you recommend a movie similar to 'Blackhat' in the Crime,Drama,Mystery genre?"
330,In which other movies did Wei Tang star besides 'Blackhat'?
331,What is the genre of the movie 'Storks'?
331,"Can you recommend a movie similar to 'Storks' in the Animation,Adventure,Comedy genre?"
331,What other movies did Nicholas Stoller direct besides 'Storks'?
332,What is the genre of the movie 'American Sniper'?
332,"Can you recommend a movie similar to 'American Sniper' in the Action,Biography,Drama genre?"
332,In which other movies did Bradley Cooper star besides 'American Sniper'?
333,What is the genre of the movie 'Dallas Buyers Club'?
333,"Can you recommend a movie similar to 'Dallas Buyers Club' in the Biography,Drama genre?"
333,What other movies did Jean-Marc Vallée direct besides 'Dallas Buyers Club'?
334,What is the genre of the movie 'Lincoln'?
334,"Can you recommend a movie similar to 'Lincoln' in the Biography,Drama,History genre?"
334,What other movies did Steven Spielberg direct besides 'Lincoln'?
335,What is the genre of the movie 'Rush'?
335,"Can you recommend a movie similar to 'Rush' in the Action,Biography,Drama genre?"
335,In which other movies did Alexandra Maria Lara star besides 'Rush'?
336,What is the genre of the movie 'Before I Wake'?
336,"Can you recommend a movie similar to 'Before I Wake' in the Drama,Fantasy,Horror genre?"
336,What other movies did Mike Flanagan direct besides 'Before I Wake'?
337,What is the genre of the movie 'Silver Linings Playbook'?
337,"Can you recommend a movie similar to 'Silver Linings Playbook' in the Comedy,Drama,Romance genre?"
337,What other movies did David O. Russell direct besides 'Silver Linings Playbook'?
338,What is the genre of the movie 'Tracktown'?
338,"Can you recommend a movie similar to 'Tracktown' in the Drama,Sport genre?"
338,In which other movies did Andy Buckley star besides 'Tracktown'?
339,What is the genre of the movie 'The Fault in Our Stars'?
339,"Can you recommend a movie similar to 'The Fault in Our Stars' in the Drama,Romance genre?"
339,In which other movies did Shailene Woodley star besides 'The Fault in Our Stars'?
340,What is the genre of the movie 'Blended'?
340,"Can you recommend a movie similar to 'Blended' in the Comedy,Romance genre?"
340,What other movies did Frank Coraci direct besides 'Blended'?
341,What is the genre of the movie 'Fast & Furious'?
341,"Can you recommend a movie similar to 'Fast & Furious' in the Action,Crime,Thriller genre?"
341,What other movies did Justin Lin direct besides 'Fast & Furious'?
342,What is the genre of the movie 'Looper'?
342,"Can you recommend a movie similar to 'Looper' in the Action,Crime,Drama genre?"
342,In which other movies did Joseph Gordon-Levitt star besides 'Looper'?
343,What is the genre of the movie 'White House Down'?
343,"Can you recommend a movie similar to 'White House Down' in the Action,Drama,Thriller genre?"
343,In which other movies did Jason Clarke star besides 'White House Down'?
344,What is the genre of the movie 'Pete's Dragon'?
344,"Can you recommend a movie similar to 'Pete's Dragon' in the Adventure,Family,Fantasy genre?"
344,What other movies did David Lowery direct besides 'Pete's Dragon'?
345,What is the genre of the movie 'Spider-Man 3'?
345,"Can you recommend a movie similar to 'Spider-Man 3' in the Action,Adventure genre?"
345,What other movies did Sam Raimi direct besides 'Spider-Man 3'?
346,What is the genre of the movie 'The Three Musketeers'?
346,"Can you recommend a movie similar to 'The Three Musketeers' in the Action,Adventure,Romance genre?"
346,In which other movies did Ray Stevenson star besides 'The Three Musketeers'?
347,What is the genre of the movie 'Stardust'?
347,"Can you recommend a movie similar to 'Stardust' in the Adventure,Family,Fantasy genre?"
347,What other movies did Matthew Vaughn direct besides 'Stardust'?
348,What is the genre of the movie 'American Hustle'?
348,"Can you recommend a movie similar to 'American Hustle' in the Crime,Drama genre?"
348,What other movies did David O. Russell direct besides 'American Hustle'?
349,What is the genre of the movie 'Jennifer's Body'?
349,"Can you recommend a movie similar to 'Jennifer's Body' in the Comedy,Horror genre?"
349,What other movies did Karyn Kusama direct besides 'Jennifer's Body'?
350,What is the genre of the movie 'Midnight in Paris'?
350,"Can you recommend a movie similar to 'Midnight in Paris' in the Comedy,Fantasy,Romance genre?"
350,What other movies did Woody Allen direct besides 'Midnight in Paris'?
351,What is the genre of the movie 'Lady Macbeth'?
351,Can you recommend a movie similar to 'Lady Macbeth' in the Drama genre?
351,What other movies did William Oldroyd direct besides 'Lady Macbeth'?
352,What is the genre of the movie 'Joy'?
352,Can you recommend a movie similar to 'Joy' in the Drama genre?
352,In which other movies did Robert De Niro star besides 'Joy'?
353,What is the genre of the movie 'The Dressmaker'?
353,"Can you recommend a movie similar to 'The Dressmaker' in the Comedy,Drama genre?"
353,In which other movies did Kate Winslet star besides 'The Dressmaker'?
354,What is the genre of the movie 'Café Society'?
354,"Can you recommend a movie similar to 'Café Society' in the Comedy,Drama,Romance genre?"
354,In which other movies did Steve Carell star besides 'Café Society'?
355,What is the genre of the movie 'Insurgent'?
355,"Can you recommend a movie similar to 'Insurgent' in the Adventure,Sci-Fi,Thriller genre?"
355,In which other movies did Theo James star besides 'Insurgent'?
356,What is the genre of the movie 'Seventh Son'?
356,"Can you recommend a movie similar to 'Seventh Son' in the Action,Adventure,Fantasy genre?"
356,What other movies did Sergei Bodrov direct besides 'Seventh Son'?
357,What is the genre of the movie 'Demain tout commence'?
357,"Can you recommend a movie similar to 'Demain tout commence' in the Comedy,Drama genre?"
357,What other movies did Hugo Gélin direct besides 'Demain tout commence'?
358,What is the genre of the movie 'The Theory of Everything'?
358,"Can you recommend a movie similar to 'The Theory of Everything' in the Biography,Drama,Romance genre?"
358,In which other movies did Felicity Jones star besides 'The Theory of Everything'?
359,What is the genre of the movie 'This Is the End'?
359,"Can you recommend a movie similar to 'This Is the End' in the Comedy,Fantasy genre?"
359,What other movies did Evan Goldberg direct besides 'This Is the End'?
360,What is the genre of the movie 'About Time'?
360,"Can you recommend a movie similar to 'About Time' in the Comedy,Drama,Fantasy genre?"
360,What other movies did Richard Curtis direct besides 'About Time'?
361,What is the genre of the movie 'Step Brothers'?
361,Can you recommend a movie similar to 'Step Brothers' in the Comedy genre?
361,In which other movies did Will Ferrell star besides 'Step Brothers'?
362,What is the genre of the movie 'Clown'?
362,"Can you recommend a movie similar to 'Clown' in the Horror,Thriller genre?"
362,In which other movies did Peter Stormare star besides 'Clown'?
363,What is the genre of the movie 'Star Trek Into Darkness'?
363,"Can you recommend a movie similar to 'Star Trek Into Darkness' in the Action,Adventure,Sci-Fi genre?"
363,In which other movies did Zoe Saldana star besides 'Star Trek Into Darkness'?
364,What is the genre of the movie 'Zombieland'?
364,"Can you recommend a movie similar to 'Zombieland' in the Adventure,Comedy,Horror genre?"
364,What other movies did Ruben Fleischer direct besides 'Zombieland'?
365,"What is the genre of the movie 'Hail, Caesar!'?"
365,"Can you recommend a movie similar to 'Hail, Caesar!' in the Comedy,Mystery genre?"
365,"In which other movies did Josh Brolin star besides 'Hail, Caesar!'?"
366,What is the genre of the movie 'Slumdog Millionaire'?
366,Can you recommend a movie similar to 'Slumdog Millionaire' in the Drama genre?
366,In which other movies did Anil Kapoor star besides 'Slumdog Millionaire'?
367,What is the genre of the movie 'The Twilight Saga: Breaking Dawn - Part 2'?
367,"Can you recommend a movie similar to 'The Twilight Saga: Breaking Dawn - Part 2' in the Adventure,Drama,Fantasy genre?"
367,What other movies did Bill Condon direct besides 'The Twilight Saga: Breaking Dawn - Part 2'?
368,What is the genre of the movie 'American Wrestler: The Wizard'?
368,"Can you recommend a movie similar to 'American Wrestler: The Wizard' in the Drama,Sport genre?"
368,What other movies did Alex Ranarivelo direct besides 'American Wrestler: The Wizard'?
369,What is the genre of the movie 'The Amazing Spider-Man'?
369,"Can you recommend a movie similar to 'The Amazing Spider-Man' in the Action,Adventure genre?"
369,What other movies did Marc Webb direct besides 'The Amazing Spider-Man'?
370,What is the genre of the movie 'Ben-Hur'?
370,"Can you recommend a movie similar to 'Ben-Hur' in the Action,Adventure,Drama genre?"
370,What other movies did Timur Bekmambetov direct besides 'Ben-Hur'?
371,What is the genre of the movie 'Sleight'?
371,"Can you recommend a movie similar to 'Sleight' in the Action,Drama,Sci-Fi genre?"
371,In which other movies did Jacob Latimore star besides 'Sleight'?
372,What is the genre of the movie 'The Maze Runner'?
372,"Can you recommend a movie similar to 'The Maze Runner' in the Action,Mystery,Sci-Fi genre?"
372,In which other movies did Will Poulter star besides 'The Maze Runner'?
373,What is the genre of the movie 'Criminal'?
373,"Can you recommend a movie similar to 'Criminal' in the Action,Crime,Drama genre?"
373,What other movies did Ariel Vromen direct besides 'Criminal'?
374,What is the genre of the movie 'Wanted'?
374,"Can you recommend a movie similar to 'Wanted' in the Action,Crime,Fantasy genre?"
374,In which other movies did Terence Stamp star besides 'Wanted'?
375,What is the genre of the movie 'Florence Foster Jenkins'?
375,"Can you recommend a movie similar to 'Florence Foster Jenkins' in the Biography,Comedy,Drama genre?"
375,In which other movies did Meryl Streep star besides 'Florence Foster Jenkins'?
376,What is the genre of the movie 'Collide'?
376,"Can you recommend a movie similar to 'Collide' in the Action,Crime,Thriller genre?"
376,What other movies did Eran Creevy direct besides 'Collide'?
377,What is the genre of the movie 'Black Mass'?
377,"Can you recommend a movie similar to 'Black Mass' in the Biography,Crime,Drama genre?"
377,In which other movies did Johnny Depp star besides 'Black Mass'?
378,What is the genre of the movie 'Creed'?
378,"Can you recommend a movie similar to 'Creed' in the Drama,Sport genre?"
378,In which other movies did Phylicia Rashad star besides 'Creed'?
379,What is the genre of the movie 'Swiss Army Man'?
379,"Can you recommend a movie similar to 'Swiss Army Man' in the Adventure,Comedy,Drama genre?"
379,What other movies did Dan Kwan direct besides 'Swiss Army Man'?
380,What is the genre of the movie 'The Expendables 3'?
380,"Can you recommend a movie similar to 'The Expendables 3' in the Action,Adventure,Thriller genre?"
